"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 21:09:59 EDT 2024","Tue Jun 18 21:10:00 EDT 2024","906","chrome","test/Playwright_Day1_06042024/GoogleSearch.spec.ts","","","","Capture the search result",""
"passed","Tue Jun 18 21:09:57 EDT 2024","Tue Jun 18 21:09:59 EDT 2024","2408","chrome","test/Playwright_Day1_06042024/GoogleSearch.spec.ts","","","","Search for BMW",""
